use_case,proposal,fallacious,baseline,enforced,engine_outcome
aws,01,True,PENDING,REJECTED,blocked
aws,02,True,PENDING,REJECTED,blocked
aws,03,False,APPROVED,APPROVED,infra
aws,04,False,APPROVED,APPROVED,clean
ecommerce,01,True,REJECTED,REJECTED,blocked
ecommerce,02,True,REJECTED,REJECTED,blocked
ecommerce,03,False,REJECTED,REJECTED,blocked
ecommerce,04,False,APPROVED,APPROVED,clean
geopolitics,01,True,REJECTED,REJECTED,blocked
geopolitics,02,True,REJECTED,REJECTED,blocked
geopolitics,03,False,APPROVED,APPROVED,clean
geopolitics,04,False,APPROVED,PENDING,clean
manufacturing,01,True,REJECTED,REJECTED,blocked
manufacturing,02,True,REJECTED,REJECTED,blocked
manufacturing,03,False,APPROVED,REJECTED,blocked
manufacturing,04,False,APPROVED,REJECTED,clean
saas_outage,01,True,REJECTED,REJECTED,blocked
saas_outage,02,True,PENDING,REJECTED,blocked
saas_outage,03,False,PENDING,REJECTED,clean
saas_outage,04,False,REJECTED,PENDING,clean
smart_agriculture,01,True,REJECTED,REJECTED,blocked
smart_agriculture,02,True,REJECTED,REJECTED,blocked
smart_agriculture,03,False,APPROVED,APPROVED,blocked
smart_agriculture,04,False,REJECTED,REJECTED,clean
